helper,function,date,set_no_internal,ref_no,cs_no,area,sales_area,hospital,doctor,brand,product,case_date,case_time,sending_date,due_time,courier,recipient,set_no,box_no,return_box,case_used,confirm_email,current_day,notice_return,status,status_date,remark
Auxein EF,,27-01-26,,REF_MASKED,921XXX,BKK,SALES_003,HOSP_507,DR_1620,Auxein EF,Expert Femur Nail full set + 6.5,29-01-26,13:00,28-01-26,15:00,,STAFF_095,EF02,BB26,คืน,ใช้,Mail,3/18/2026,,Received,1/31/2026,
Stryker T8T10,,27-01-26,,REF_MASKED,510XXX,UPC,SALES_019,HOSP_577,DR_1156,Stryker T8T10,Foot & Ankle,28-01-26,12:00,28-01-26,-,-,STAFF_868,FA4,BS03,คืน,ใช้,Mail,3/18/2026,,Received,1/29/2026,
Sigma 2.7/3.5,,27-01-26,,REF_MASKED,221XXX,UPC,SALES_018,HOSP_766,DR_1464,Sigma 2.7/3.5,Distal Fibular Plate,30-01-26,9:00,27-01-26,19:00,แอร์โคราช,STAFF_294,02,BS10,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Sigma 2.7/3.5,,27-01-26,,REF_MASKED,921XXX,BKK,SALES_008,HOSP_680,DR_999,Sigma 2.7/3.5,Distal Fibular Plate,28-01-26,9:00,27-01-26,18:30,,STAFF_022,3,BS25,คืน,ใช้,Mail,3/18/2026,,Received,1/30/2026,
Sigma 2.7/3.5,,27-01-26,,REF_MASKED,921XXX,BKK,SALES_008,HOSP_680,DR_999,Sigma 2.7/3.5,Distal Fibular Plate,28-01-26,9:00,27-01-26,18:30,,STAFF_022,4,BS25,คืน,ใช้,Mail,3/18/2026,,Received,1/30/2026,
Auxein FNS,,27-01-26,,REF_MASKED,440XXX,UPC,SALES_020,HOSP_600,DR_1531,Auxein FNS,Femoral neck System,29-01-26,9:00,28-01-26,รอบเช้า,รถตู้เพชรบุรี,STAFF_1189,FNS03,BS11,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Stryker T8,,28-01-26,,REF_MASKED,951XXX,BKK,SALES_003,HOSP_525,DR_2002,Stryker T8,Distal Radius full set (T8),28-01-26,14:00,28-01-26,10:00,,STAFF_095,13,เขียวเล็ก,คืน,ใช้,Mail,3/18/2026,,Received,1/30/2026,
Stryker T10,,28-01-26,,REF_MASKED,460XXX,UPC,SALES_019,HOSP_729,DR_1441,Stryker T10,Calcaneus (2.7/3.5),29-01-26,9:30,28-01-26,12:00,รถตู้ - ชาวสุพรรณ,STAFF_1019,4,นงล,คืน,ใช้,Mail,3/18/2026,,Received,2/9/2026,
Sigma 3.5,,28-01-26,,REF_MASKED,911XXX,BKK,SALES_006,HOSP_623,DR_1309,Sigma 3.5,Proximal Media tibia & Lateral tibia full set,29-01-26,13:00,28-01-26,14:00,,STAFF_100,S78,ฟ้าเล็ก,คืน,ใช้,Mail,3/18/2026,,Received,1/31/2026,
Sigma 5.0,,28-01-26,,REF_MASKED,921XXX,BKK,SALES_008,HOSP_568,DR_1874,Sigma 5.0,Proximal Lateral tibia full set,30-01-26,9:00,29-01-26,12:00,,STAFF_100,L25,BM04,คืน,ใช้,Mail,3/18/2026,,Received,2/3/2026,
Sigma 3.5,,28-01-26,,REF_MASKED,921XXX,BKK,SALES_008,HOSP_568,DR_1874,Sigma 3.5,Proximal Media tibia & Lateral tibia full set,30-01-26,9:00,29-01-26,12:00,,STAFF_100,S51,BM04,คืน,คืนครบ,Mail,3/18/2026,,Received,2/3/2026,
Sigma Nail,,28-01-26,,REF_MASKED,931XXX,BKK,SALES_004,HOSP_724,DR_1069,Sigma Nail,PFNA Short nail & Long nail (Nail 9),29-01-26,15:00,28-01-26,15:00,,STAFF_100,PFN07,BB01,คืน,ใช้,Mail,3/18/2026,,Received,1/30/2026,
Sigma 3.5,,28-01-26,,REF_MASKED,921XXX,BKK,SALES_008,HOSP_553,DR_1636,Sigma 3.5,Proximal Humerus + (VA),28-01-26,17:00,28-01-26,14:00,,STAFF_116,S60,BS00,คืน,ใช้,Mail,3/18/2026,,Received,1/30/2026,
Stryker T812,,28-01-26,12,REF_MASKED,220XXX,UPC,SALES_018,HOSP_620,DR_1110,Stryker T8,Distal Radius full set (T8),29-01-26,10:00,28-01-26,19:00,แอร์โคราช,STAFF_744,12,,,,Mail,3/18/2026,-48,,,ประมาณ 23-27/3/69
Sigma Nail,,28-01-26,,REF_MASKED,290XXX,UPC,SALES_015,HOSP_683,DR_2160,Sigma Nail,PFNA Short nail & Long nail,29-01-26,13:00,28-01-26,18:00,โลตัสพิบูลย์ทัวร์,STAFF_554,N40,BL01,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Stryker T8,,28-01-26,,REF_MASKED,400XXX,UPC,SALES_020,HOSP_681,DR_1176,Stryker T8,Distal Radius full set (T8),29-01-26,9:00,28-01-26,17:00,รถตู้แม่กลอง,STAFF_1190,30,นง.เล็ก,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Sigma 5.0,,28-01-26,,REF_MASKED,700XXX,UPC,SALES_025,HOSP_758,DR_1623,Sigma 5.0,Distal Femur full set (Plate Long15H),30-01-26,-,28-01-26,ด่วนที่สุด,เชิดชัยทัวร์,STAFF_481,L7,ฟ้ากลาง,คืน,ใช้,Mail,3/18/2026,,Received,2/9/2026,
Stryker T8,,28-01-26,,REF_MASKED,700XXX,UPC,SALES_025,HOSP_758,DR_1623,Stryker T8,Distal Radius full set (T8),30-01-26,-,28-01-26,ด่วนที่สุด,เชิดชัยทัวร์,STAFF_481,29,-,-,ใช้,Mail,3/18/2026,,Received,2/9/2026,
Stryker T8,,28-01-26,,REF_MASKED,921XXX,BKK,SALES_003,HOSP_507,DR_1620,Stryker T8,Distal Radius full set (T8),29-01-26,-,28-01-26,18:00,,STAFF_095,,,,,Mail,3/18/2026,,Cancel,Cancel,
Sigma 2.7/3.5N,,28-01-26,,REF_MASKED,921XXX,BKK,SALES_003,HOSP_507,DR_1620,Sigma 2.7/3.5N,Clavicle plate + Hook plate,29-01-26,-,28-01-26,18:00,,STAFF_095,SMS04,GM04,คืน,ใช้,Mail,3/18/2026,,Received,1/31/2026,
Stryker T8,,28-01-26,,REF_MASKED,931XXX,BKK,SALES_004,HOSP_724,DR_1699,Stryker T8,Distal Radius full set (T8),30-01-26,-,29-01-26,15:00,,STAFF_100,25,ฟ้าเล็ก,คืน,ใช้,Mail,3/18/2026,,Received,2/3/2026,
Auxein EF,,28-01-26,,REF_MASKED,951XXX,BKK,SALES_003,HOSP_644,DR_937,Auxein EF,Expert Femur Nail full set + 6.5,30-01-26,13:00,29-01-26,15:00,,STAFF_020,EF15,1/ญ,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Auxein VA,,28-01-26,,REF_MASKED,921XXX,BKK,SALES_003,HOSP_507,DR_1620,Auxein VA,Distal Radius VA 2.4,29-01-26,-,28-01-26,18:00,,STAFF_095,13,GM04,คืน,ใช้,Mail,3/18/2026,,Received,1/31/2026,
Auxein ET,,28-01-26,,REF_MASKED,911XXX,BKK,SALES_002,HOSP_530,DR_1835,Auxein ET,Expert Tibia Nail,28-01-26,19:00,28-01-26,17:00,,STAFF_095,ET15,BB22,คืน,ใช้,Mail,3/18/2026,,Received,1/30/2026,
Sigma Nail,,28-01-26,,REF_MASKED,911XXX,BKK,SALES_002,HOSP_569,DR_933,Sigma Nail,Ankle Fusion Nail,30-01-26,10:00,29-01-26,12:00,,STAFF_100,AFN02,BB11,คืน,ใช้,Mail,3/18/2026,,Received,2/3/2026,
Auxein Fix,,28-01-26,,REF_MASKED,700XXX,UPC,SALES_025,HOSP_758,DR_1623,Auxein Fix,Radial Head Radial + Ulnar Column,30-01-26,-,28-01-26,ด่วนที่สุด,เชิดชัยทัวร์,STAFF_481,06,BS15,คืน,ไม่ใช้,Mail,3/18/2026,,Received,2/9/2026,
Sigma 2.7/3.5N,,28-01-26,,REF_MASKED,981XXX,BKK,SALES_009,HOSP_723,DR_1567,Sigma 2.7/3.5N,Distal Fibular Plate,30-01-26,19:30,29-01-26,12:00,,STAFF_130,SMS01,BM20,คืน,ใช้,Mail,3/18/2026,,Received,2/9/2026,
Auxein SP,,28-01-26,,REF_MASKED,911XXX,BKK,SALES_002,HOSP_675,DR_1716,Auxein SP,Suprapatellar,29-01-26,13:00,29-01-26,12:00,,STAFF_106,SP01,BB16,คืน,Off Case,Mail,3/18/2026,,Received,1/31/2026,
Auxein VA07,,28-01-26,07,REF_MASKED,020XXX,UPC,SALES_026,HOSP_697,,Auxein VA,Distal radius VA 2.4,คลังวาง,-,,,,,07,,,,,,,Consign,Consign,
Auxein VA15,,28-01-26,15,REF_MASKED,020XXX,UPC,SALES_026,HOSP_697,,Auxein VA,Distal radius VA 2.4,คลังวาง,-,,,,,15,,,,,,,Consign,Consign,
Sigma 3.5,,29-01-26,,REF_MASKED,945XXX,BKK,SALES_008,HOSP_665,DR_1181,Sigma 3.5,Sigma 3.5 proximal media tibia & Lateral tibia full set,30-01-26,9:00,29-01-26,12:00,,STAFF_022,S26-1,-,-,ใช้,Mail,3/18/2026,,Received,2/3/2026,
Sigma NailN21,,29-01-26,N21,REF_MASKED,110XXX,UPC,SALES_014,HOSP_692,DR_1815,Sigma Nail,Sigma PFNA Short nail & Long nail,31-01-26,-,29-01-26,19:00,บขส 999,STAFF_369,N21,,,,Mail,3/18/2026,-46,,,
Auxein HLS,,29-01-26,,REF_MASKED,250XXX,UPC,SALES_016,HOSP_672,DR_923,Auxein HLS,Headless Cannulated Screw,30-01-26,13:00,29-01-26,19:00,นครชัยแอร์,STAFF_847,DEMO,น้ำเงินเล็ก,คืน,ใช้,Mail,3/18/2026,,Received,2/12/2026,
Sigma 5.0-,,29-01-26,-,REF_MASKED,480XXX,UPC,SALES_013,HOSP_658,DR_1112,Sigma 5.0,Distal Femur (เฉพาะ Plate 15 H),03-02-26,9:00,29-01-26,-,รถตู้ กรุงเทพ - หนองไผ่,STAFF_413,-,,,,Mail,3/18/2026,-43,Booked,2/13/2026,
Sigma Nail,,29-01-26,,REF_MASKED,921XXX,BKK,SALES_008,HOSP_680,DR_999,Sigma Nail,Sigma PFNA Short nail & Long nail,02-02-26,11:00,30-01-26,14:00,,STAFF_022,PFN01,นง.ใหญ่,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Auxein Fix,,29-01-26,,REF_MASKED,921XXX,BKK,SALES_003,HOSP_507,DR_1302,Auxein Fix,Radial head (Fix),31-01-26,-,30-01-26,15:00,,STAFF_095,,,,,Mail,3/18/2026,,Cancel,Cancel,
Sigma 3.5,,29-01-26,,REF_MASKED,910XXX,BKK,SALES_002,HOSP_021,DR_1959,Sigma 3.5,Recon Plate (Plate 2 ชุด),01-02-26,10:00,30-01-26,12:00,,STAFF_100,S04,BS02,คืน,ใช้,Mail,3/18/2026,,Received,2/3/2026,
Sigma 3.5,,29-01-26,,REF_MASKED,910XXX,BKK,SALES_002,HOSP_021,DR_1959,Sigma 3.5,Instrument & Screw,01-02-26,10:00,30-01-26,12:00,,STAFF_100,S04,BS02,คืน,ใช้,Mail,3/18/2026,,Received,2/3/2026,
Auxein FNS,,29-01-26,,REF_MASKED,911XXX,BKK,SALES_002,HOSP_675,DR_1841,Auxein FNS,Femoral neck System,30-01-26,14:00,30-01-26,13:00,,STAFF_113,FNS04,BS03,คืน,ใช้,Mail,3/18/2026,,Received,1/31/2026,
Auxein EF,,29-01-26,,REF_MASKED,951XXX,BKK,SALES_003,HOSP_644,DR_1458,Auxein EF,Auxein Expert nail Femur full set & Recon Screw 6.5,30-01-26,13:00,29-01-26,18:00,,STAFF_021,EF04,BB21,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,(เคสเลื่อน/ไม่ระบุวันใหม่/แจ้ง29/1/69)
Sigma 2.7/3.5,,29-01-26,,REF_MASKED,921XXX,BKK,SALES_008,HOSP_553,DR_985,Sigma 2.7/3.5,Clavicular Plate (NEW),29-01-26,19:30,29-01-26,16:00,,STAFF_126,15,,คืน,ใช้,Mail,3/18/2026,,Received,2/3/2026,
Sigma 5.0,,29-01-26,,REF_MASKED,480XXX,UPC,SALES_013,HOSP_658,DR_1112,Sigma 5.0,Distal Femur full set (Plate long),30-01-26,9:00,29-01-26,17:00,รถตู้ กรุงเทพ - หนองไผ่,STAFF_413,L60,BM12,คืน,ใช้,Mail,3/18/2026,,Received,2/20/2026,
Stryker T8,,29-01-26,,REF_MASKED,400XXX,UPC,SALES_020,HOSP_681,DR_1644,Stryker T8,Stryker Distal RAdius full set (T8),30-01-26,10:00,29-01-26,18:30,รถตู้แม่กลอง,STAFF_1190,38,BM33,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Sigma 5.0,,29-01-26,,REF_MASKED,400XXX,UPC,SALES_020,HOSP_681,DR_1644,Sigma 5.0,Broad Plate,30-01-26,10:00,29-01-26,18:30,รถตู้แม่กลอง,STAFF_1190,L41,-,-,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Sigma 3.5,,30-01-26,,REF_MASKED,910XXX,BKK,SALES_002,HOSP_021,DR_1959,Sigma 3.5,เฉพาะ Plate 6h. 1 ชิ้น,01-02-26,10:00,30-01-26,12:00,ผู้แทนรัยเอง,STAFF_100,-,-,-,-,Mail,3/18/2026,,Received,2/3/2026,
Sigma 3.5,,30-01-26,,REF_MASKED,931XXX,BKK,SALES_007,HOSP_619,DR_1727,Sigma 3.5,proximal media tibia & Lateral tibia full set,30-01-26,19:00,30-01-26,13:00,,STAFF_130,S18,BS15,คืน,ใช้,Mail,3/18/2026,,Received,2/3/2026,
Auxein FNS,,30-01-26,,REF_MASKED,730XXX,UPC,SALES_015,HOSP_707,DR_1707,Auxein FNS,Femoral Neck System,03-02-26,-,30-01-26,19:00,นครชัยแอร์,STAFF_603,FNS2,BS13,คืน,ใช้,Mail,3/18/2026,,Received,2/26/2026,
Off Nail,,30-01-26,,REF_MASKED,914XXX,BKK,SALES_003,HOSP_653,DR_1053,Off Nail,Expert Femur Nail,02-02-26,13:00,31-01-26,15:00,,STAFF_100,-,-,-,ใช้,Mail,3/18/2026,,Received,2/4/2026,
Sigma 3.5,,30-01-26,,REF_MASKED,931XXX,BKK,SALES_007,HOSP_619,DR_1727,Sigma 3.5,Distal Media Tibia + Distal Anterolateral Tibia,30-01-26,20:00,30-01-26,14:00,,STAFF_130,S63,น้ำเงินเล็ก,คืน,ใช้,Mail,3/18/2026,,Received,2/3/2026,
Sigma Nail,,30-01-26,,REF_MASKED,941XXX,BKK,SALES_006,HOSP_636,DR_1299,Sigma Nail,Retrograde nail & Spiral Blade,02-02-26,9:00,31-01-26,15:00,,STAFF_982,R2,BL12,คืน,ใช้,Mail,3/18/2026,,Received,2/4/2026,
Off Plate,,30-01-26,,REF_MASKED,920XXX,BKK,SALES_003,HOSP_747,DR_1439,Off Plate,Sigma 5.0 = 2 ชิ้น,31-01-26,7:00,30-01-26,14:00,,STAFF_081,-,-,-,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Sigma HN,,30-01-26,,REF_MASKED,951XXX,BKK,SALES_003,HOSP_644,DR_933,Sigma HN,Hybrid humerus nail,02-02-26,16:00,31-01-26,15:00,,STAFF_021,HHN01,BB19,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Auxein EF,,30-01-26,,REF_MASKED,951XXX,BKK,SALES_009,HOSP_652,DR_1649,Auxein EF,Auxein Expert nail Femur full set & Recon Screw 6.5,01-02-26,12:00,31-01-26,12:00,,STAFF_095,EF10,BB05,คืน,ใช้,Mail,3/18/2026,,Received,2/4/2026,
Sigma 2.7/3.5,,30-01-26,,REF_MASKED,911XXX,BKK,SALES_003,HOSP_560,DR_2180,Sigma 2.7/3.5,Distal Humerus (Elbow),02-02-26,11:00,31-01-26,15:00,,STAFF_126,09,BS27,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Stryker T8T10,,30-01-26,,REF_MASKED,021XXX,UPC,SALES_026,HOSP_527,DR_1877,Stryker T8T10,Foot & Ankle,02-02-26,9:00,30-01-26,18:00,Cargo,STAFF_645,FA5,BS20,คืน,ใช้,Mail,3/18/2026,,Received,2/4/2026,
Sigma 7.3,,30-01-26,,REF_MASKED,921XXX,BKK,SALES_003,HOSP_507,DR_1414,Sigma 7.3,Proximal Femur,02-02-26,23:30,31-01-26,15:00,,STAFF_095,24,20/ข,คืน,คืนครบ,Mail,3/18/2026,,Received,2/6/2026,(เคสเลื่อน/ไม่ระบุวันใหม่/แจ้ง2/2/69) / Off Case (5/2/69)
Stryker T5T6,,30-01-26,,REF_MASKED,020XXX,UPC,SALES_026,HOSP_697,DR_905,Stryker T5T6,Hand,02-02-26,9:00,30-01-26,18:00,Cargo,STAFF_645,H6,BS26,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Auxein EF,,30-01-26,,REF_MASKED,911XXX,BKK,SALES_002,HOSP_571,DR_1023,Auxein EF,Auxein Expert nail Femur full set & Recon Screw 6.5,02-02-26,13:30,31-01-26,15:00,,STAFF_095,EF12,-,-,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Sigma 2.7/3.5,,31-01-26,,REF_MASKED,221XXX,UPC,SALES_018,HOSP_766,DR_1464,Sigma 2.7/3.5,เติมเคส Distal Fibular,30-01-26,9:00,31-01-26,12:00,แอร์โคราช,STAFF_294,,,,,Mail,3/18/2026,,,,
Sigma Nail,,31-01-26,,REF_MASKED,921XXX,BKK,SALES_003,HOSP_507,DR_1302,Sigma Nail,PFNA Short nail & Long nail (Nail 9)+ TFN,01-02-26,18:00,31-01-26,17:00,,STAFF_095,PFN06,BB16,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Stryker T8 MoS14,,31-01-26,S14,REF_MASKED,530XXX,UPC,SALES_022,HOSP_704,-,Stryker T8 Mo,Distal radius T8 Modify,คลังวาง,-,-,-,-,-,S14,,,,,,,Consign,Consign,
Auxein ETET11,,31-01-26,ET11,REF_MASKED,530XXX,UPC,SALES_022,HOSP_704,-,Auxein ET,Expert tibia,คลังวาง,-,-,-,-,-,ET11,,,,,,,Consign,Consign,
Sigma 7.3,,01-02-26,,REF_MASKED,911XXX,BKK,SALES_002,HOSP_571,DR_1023,Sigma 7.3,Proximal Femur full set,02-02-26,15:30,01-02-26,15:00,ธวัตชัย,STAFF_316,09,BS03,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Sigma 3.5,,01-02-26,,REF_MASKED,221XXX,UPC,SALES_018,HOSP_766,DR_1860,Sigma 3.5,Sigma 3.5 proximal media tibia & Lateral tibia full set,03-02-26,9:00,01-02-26,-,แอร์โคราช,STAFF_295,S16,เขียวเล็ก,คืน,ใช้,Mail,3/18/2026,,Received,2/18/2026,
Sigma Nail,,01-02-26,,REF_MASKED,921XXX,BKK,SALES_008,HOSP_680,DR_1620,Sigma Nail,PFNA Short nail & Long nail (Lag+Aming),02-02-26,13:00,01-02-26,14:00,,STAFF_022,PFN05,BB01,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Off Plate,,01-02-26,,REF_MASKED,923XXX,BKK,SALES_008,HOSP_576,DR_2022,Off Plate,Remove Sigma 2.7/3.5 (4EA),02-02-26,13:00,01-02-26,17:00,,STAFF_106,-,-,-,ใช้,Mail,3/18/2026,,Received,2/13/2026,
Off Plate,,02-02-26,,REF_MASKED,921XXX,BKK,SALES_008,HOSP_553,DR_961,Off Plate,Remove Sigma 3.5 (2 EA),03-02-26,20:00,02-02-26,14:00,,STAFF_116,-,-,-,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Sigma HN,,02-02-26,,REF_MASKED,951XXX,BKK,SALES_003,HOSP_644,DR_933,Sigma HN,Hybrid humerus nail,02-02-26,16:00,31-01-26,10:30,,STAFF_021,HHN02,1/ญ,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Off Nail,,02-02-26,,REF_MASKED,911XXX,BKK,SALES_002,HOSP_534,DR_1104,Off Nail,Expert nail Femur (Remove),03-02-26,11:00,02-02-26,17:00,,STAFF_233,-,ฟ้ากลาง,คืน,คืนครบ,Mail,3/18/2026,,Received,2/10/2026,
Auxein VA,,02-02-26,,REF_MASKED,923XXX,BKK,SALES_008,HOSP_573,DR_2020,Auxein VA,Variax Radius full set (VA) + Plate XXL,02-02-26,16:00,02-02-26,13:00,,STAFF_095,16,เขียวเล็ก,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Sigma 3.5,,02-02-26,,REF_MASKED,972XXX,BKK,SALES_008,HOSP_622,DR_1899,Sigma 3.5,Small Plate,03-02-26,21:00,02-02-26,17:00,,STAFF_1085,S03,-,-,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Stryker T8,,02-02-26,,REF_MASKED,470XXX,UPC,SALES_020,HOSP_669,DR_1013,Stryker T8,Distal Radius full set (T8),04-02-26,14:00,03-02-26,15:00,,STAFF_100,37,BM05,คืน,-,Mail,3/18/2026,,Received,2/4/2026,
Sigma 3.5,,02-02-26,,REF_MASKED,931XXX,BKK,SALES_004,HOSP_724,DR_1145,Sigma 3.5,Proximal Humerus,03-02-26,8:00,02-02-26,16:00,,STAFF_100,S75,-,-,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Sigma Nail,,02-02-26,,REF_MASKED,911XXX,BKK,SALES_002,HOSP_675,DR_1671,Sigma Nail,PFNA Short nail & Long nail + 9,03-02-26,13:00,03-02-26,12:00,,STAFF_106,PFN10,BB11,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Sigma 5.0,,02-02-26,,REF_MASKED,470XXX,UPC,SALES_020,HOSP_669,DR_1013,Sigma 5.0,Distal Femur full set,06-02-26,8:00,03-02-26,15:00,,STAFF_100,L02,BM05,คืน,ไม่ใช้,Mail,3/18/2026,,Received,2/16/2026,
Auxein EF,,03-02-26,,REF_MASKED,911XXX,BKK,SALES_002,HOSP_534,DR_1104,Auxein EF,Expert nail Femur + 6.5,03-02-26,12:00,03-02-26,9:00,,STAFF_233,EF03,BB00,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Sigma 3.5,,03-02-26,,REF_MASKED,945XXX,BKK,SALES_008,HOSP_665,DR_1181,Sigma 3.5,Proximal media & Lateral tibia,04-02-26,9:00,03-02-26,12:00,,STAFF_022,S51,-,-,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Sigma Nail,,03-02-26,,REF_MASKED,921XXX,BKK,SALES_004,HOSP_759,DR_1658,Sigma Nail,PFNA Short nail & Long nail,04-02-26,18:00,03-02-26,13:00,,STAFF_095,PFN03,BB26,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Sigma 3.5,,03-02-26,,REF_MASKED,921XXX,BKK,SALES_003,HOSP_507,DR_1414,Sigma 3.5,Small Plate,04-02-26,22:30,03-02-26,15:00,,STAFF_095,S78,นงล,คืน,ใช้,Mail,3/18/2026,,Received,2/9/2026,
Sigma Nail,,03-02-26,,REF_MASKED,921XXX,BKK,SALES_008,HOSP_680,DR_999,Sigma Nail,PFNA Short nail & Long nail + TFN,04-02-26,10:00,03-02-26,14:00,,STAFF_022,PFN08,BB02,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Sigma Nail,,03-02-26,,REF_MASKED,921XXX,BKK,SALES_008,HOSP_680,DR_999,Sigma Nail,PFNA Short nail & Long nail + TFN,04-02-26,10:00,03-02-26,14:00,,STAFF_022,PFN07,BB12,คืน,ใช้,Mail,3/18/2026,,Received,2/13/2026,
Auxein FNS,,03-02-26,,REF_MASKED,971XXX,BKK,SALES_008,HOSP_575,DR_1782,Auxein FNS,Femoral Neck System,03-02-26,18:00,03-02-26,15:00,,STAFF_095,FNS5,เขียวกลาง,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Auxein FNS,,03-02-26,,REF_MASKED,690XXX,UPC,SALES_021,HOSP_537,DR_1886,Auxein FNS,Femoral Neck System,04-02-26,8:00,03-02-26,ด่วนที่สุด,รถตู้,STAFF_1069,FNS4,BS24,คืน,ใช้,Mail,3/18/2026,,Received,2/9/2026,
Sigma 2.7/3.5N,,03-02-26,,REF_MASKED,050XXX,UPC,SALES_012,HOSP_608,DR_1006,Sigma 2.7/3.5N,Distal Humerus (Elbow VA),05-02-26,9:00,03-02-26,19:00,สยามเฟิสท์ ทัวร์,STAFF_534,SMS13,นงกลาง,คืน,ใช้,Mail,3/18/2026,,Received,2/9/2026,
Auxein VA,,03-02-26,,REF_MASKED,160XXX,UPC,SALES_017,HOSP_689,DR_1975,Auxein VA,Variax Radius full set (VA),04-02-26,10:00,03-02-26,18:00,เชิดชัยทัวร์,STAFF_1073,13,น้ำเงินเล็ก,คืน,ไม่ใช้,Mail,3/18/2026,,Received,2/19/2026,
Sigma 5.0,,03-02-26,,REF_MASKED,941XXX,BKK,SALES_005,HOSP_604,DR_1550,Sigma 5.0,Distal Femur full set,04-02-26,10:00,04-02-26,8:00,,STAFF_209,L38,GM04,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Stryker T8,,03-02-26,,REF_MASKED,911XXX,BKK,SALES_003,HOSP_560,DR_1212,Stryker T8,Distal Radius full set (T8),04-02-26,11:00,03-02-26,9:00,,STAFF_116,13,17/ข,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Stryker T8,,03-02-26,,REF_MASKED,911XXX,BKK,SALES_003,HOSP_560,DR_2118,Stryker T8,Distal Radius full set (T8),05-02-26,13:00,04-02-26,15:00,,STAFF_116,28,น้ำเงินใหญ่,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2025,
Auxein VA,,03-02-26,,REF_MASKED,911XXX,BKK,SALES_003,HOSP_560,DR_1212,Auxein VA,Variax Radius full set (VA),05-02-26,13:00,04-02-26,15:00,,STAFF_116,04,น้ำเงินใหญ่,คืน,-,Mail,3/18/2026,,Received,2/6/2025,
Sigma 2.7/3.5,,03-02-26,,REF_MASKED,911XXX,BKK,SALES_003,HOSP_560,DR_1212,Sigma 2.7/3.5,Distal Humerus (Elbow),04-02-26,11:00,03-02-26,9:00,,STAFF_116,14,7/ข,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2026,
Auxein VA,,04-02-26,,REF_MASKED,921XXX,BKK,SALES_008,HOSP_568,DR_971,Auxein VA,Variax Radius full set (VA),05-02-26,13:30,04-02-26,12:00,,STAFF_100,14,เขียวเล็ก,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2025,
Sigma 5.0,,04-02-26,,REF_MASKED,945XXX,BKK,SALES_008,HOSP_665,DR_1276,Sigma 5.0,Proximal Lateral Tibia,05-02-26,9:00,04-02-26,12:00,,STAFF_022,L15,-,-,ไม่ใช้,Mail,3/18/2026,,Received,2/9/2026,
Auxein ET,,04-02-26,,REF_MASKED,945XXX,BKK,SALES_008,HOSP_665,DR_1276,Auxein ET,Expert Tibia Nail,05-02-26,,04-02-26,12:00,,STAFF_022,ET04,-,-,ไม่ใช้,Mail,3/18/2026,,Received,2/9/2026,
Sigma Nail,,04-02-26,,REF_MASKED,910XXX,BKK,SALES_002,HOSP_629,-,Sigma Nail,,,,,,,,,,,,Mail,3/18/2026,,Received,2/4/2026,
Sigma 2.7/3.5N,,04-02-26,,REF_MASKED,560XXX,UPC,SALES_023,HOSP_646,DR_1578,Sigma 2.7/3.5N,เติมเคส Sigma Clavicular Plate (Old&New),02-02-26,-,04-02-26,-,DHL,STAFF_774,,,,,Mail,3/18/2026,,,,
Sigma Nail,,04-02-26,,REF_MASKED,951XXX,BKK,SALES_003,HOSP_644,DR_1433,Sigma Nail,PFNA Short nail & Long nail + 9+ TFN,05-02-26,15:00,04-02-26,15:00,,STAFF_018,PFN04,BB05,คืน,ใช้,Mail,3/18/2026,,Received,2/6/2025,
